GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
06075016500,Census Tract 165,3.873169742,0,3.726956242,62.7,4.2,23.4,0,70.4,11.2,9.2,0.2,11.3172998,7.331060305,7.331060305,75,0,35.241801,14.95275153,27.03497,50.65789474,50.65789474
06075016600,Census Tract 166,3.828987875,0,3.74453584,71.6,4.5,15,0,75,1.9,14.3,0.6,11.54973944,7.524021415,7.524021415,256,137,31.53246753,12,27.03497,24.70588235,41.37931034
06075016700,Census Tract 167,3.427373154,0,3.322471521,81.3,4.7,15.7,0,81.5,5.2,6.9,0,11.78192154,7.506042179,7.506042179,193,0,30.12048193,11.02409639,27.03497,38.33865815,38.33865815
06075016801,Census Tract 168.01,2.930193047,0,2.718225866,69.9,5.8,14.2,1.3,79.4,6.6,8.3,0,11.45803624,7.422373701,7.422373701,135,0,37.00670141,20.32762472,27.03497,35.71428571,35.71428571
06075016802,Census Tract 168.02,2.81893466,0,2.103123771,68,5,14.8,6.8,58.8,5.2,19.9,2.6,11.24586921,7.189167738,7.189167738,391,88,36.94968553,18.16037736,27.03497,11.13636364,13.92045455
06075016900,Census Tract 169,3.058598797,0,3.174191479,74.1,5.5,16.6,0,77.2,5.4,11.7,0.4,11.52654233,7.389563954,7.389563954,164,30,31.81818182,13.80165289,27.03497,30.80168776,35.26570048
06075017000,Census Tract 170,3.473633231,0,3.548430365,80.9,3,22.7,0,82.5,1,12.5,0.5,11.76695509,7.641084249,7.641084249,300,41,35.52206674,18.08396125,27.03497,18.25613079,20.55214724
06075017101,Census Tract 171.01,3.758508419,0,3.762866414,78.2,2.8,13.7,0,83.1,4.4,4.4,0.9,11.7487167,7.546974118,7.546974118,147,26,23.2034632,9.177489177,27.03497,26.86567164,30.85714286
06075017102,Census Tract 171.02,3.910705569,0,3.905208513,85.7,5.1,12.1,4,81.7,1.7,8.2,0,11.70766954,7.660585462,7.660585462,127,0,39.87836664,19.54821894,27.03497,31.35135135,31.35135135
06075017601,Census Tract 176.01,1.726405258,0,2.92798747,36.6,2.7,42.2,13.5,34.4,10.3,43.5,0,10.0756325,6.710523109,6.710523109,1177,557,52.28509249,31.69205658,27.03497,8.900928793,15.6462585
06075017700,Census Tract 177,2.521222615,0,3.102725161,47.9,7.1,37.7,13.9,43.5,2.3,14.5,5.5,11.2735509,7.346655163,7.346655163,64,0,30.9375,13.125,27.03497,39.04761905,39.04761905
06075017801,Census Tract 178.01,2.315276887,0,3.542920816,39.2,2.5,68.2,0,31.6,4.2,62.4,0,9.731334125,5.673323267,5.673323267,261,73,32.02185792,7.049180328,27.03497,7.77385159,10.47619048
06075017802,Census Tract 178.02,2.300576391,0,3.089266484,46.3,4.8,33.3,5.7,43,14.1,26.4,0.3,11.15706448,7.10824414,7.10824414,364,60,51.8321513,19.79905437,27.03497,25.40983607,28.97196262
06075017902,Census Tract 179.02,3.736078236,1,4.508267041,40.8,7.4,27.6,31.7,33.7,20.5,14.9,3.7,10.61567727,7.457032089,7.457032089,182,57,50.16025641,26.6025641,27.03497,8.080808081,11.34751773
06075018000,Census Tract 180,2.825059531,0,3.477246067,53,4.8,24.2,0,45.3,15.9,24.5,1.3,11.89591999,7.777373603,7.777373603,224,64,37.44855967,22.08504801,27.03497,27.50809061,34.69387755
