GEOID,Census_Tract,year,rent_aff_1,rent_aff_2,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_asian,percent_other_races,log_MHI,rental_units,vacant_rental
6013339001,Census Tract 3390.01,2013,26.2916188,22.1010333,7.177018766,12.88714724,0,0,54.5,2.6,36.4,10.5,75.16,2.80,15.08,6.97,10.944382,1742,106
6013339002,Census Tract 3390.02,2013,29.4751640,20.2905342,7.257002707,12.79746392,0,0,55.7,3.9,27.8,5.1,73.59,6.58,13.50,6.33,11.059220,2134,432
6013340001,Census Tract 3400.01,2013,27.2631579,30.8421053,7.231287004,13.20854107,0,0,56.4,3,23.3,8.8,81.92,2.27,10.01,5.80,11.308861,950,170
6013340002,Census Tract 3400.02,2013,20.5333333,22.4000000,7.550135342,13.44632916,0,0,60.1,5.3,14.4,3,83.68,0.00,9.33,6.99,11.580098,750,225
6013341000,Census Tract 3410,2013,39.3511989,6.9111425,7.283448229,13.53566437,0,0,63.3,6.5,12,7.9,83.15,4.33,5.27,7.25,11.439559,709,130
6013343001,Census Tract 3430.01,2013,17.7625123,19.0382728,7.224024808,13.61522868,0,0,59.3,6.8,24.3,8.7,81.70,0.58,11.12,6.60,11.276912,1019,112
6013343002,Census Tract 3430.02,2013,21.0801394,28.0487805,7.230563153,13.45123538,0,0,60.5,5.3,19.6,5.9,84.06,0.23,9.90,5.81,11.487608,574,141
6013343003,Census Tract 3430.03,2013,33.3333333,19.2439863,7.17472431,13.62410789,0,0,63.8,5.6,10.2,1.3,91.02,0.05,7.61,1.32,11.583952,291,116
6013345101,Census Tract 3451.01,2013,21.0247350,19.6113074,7.337587744,13.30284992,0,0,54.4,3.9,24.1,3.7,68.65,5.15,23.99,2.21,11.565451,566,192
6013345102,Census Tract 3451.02,2013,17.5438596,21.6374269,7.649692624,13.3257939,0,0,50.7,6.7,21.5,7.1,73.08,0.87,18.18,7.87,11.834581,171,20
6013345103,Census Tract 3451.03,2013,27.4406332,34.8284960,7.164720379,13.34069537,0,0,49,4.6,16.6,2,72.49,0.00,17.49,10.02,11.605960,379,20
6013345105,Census Tract 3451.05,2013,3.8745387,48.7084871,7.649692624,13.46836153,0,0,58.7,4.1,9.5,9.8,84.70,0.65,10.63,4.02,11.630282,542,102
6013345108,Census Tract 3451.08,2013,39.8826979,3.0791789,7.649692624,13.33699077,0,0,71.1,4,28.2,0.9,62.86,1.26,27.25,8.63,11.793628,682,110
6013345111,Census Tract 3451.11,2013,23.2323232,4.7138047,7.296413269,13.50735363,0,0,66.3,7.1,35.6,1.5,43.62,1.21,45.27,9.90,11.599681,891,40
6013345112,Census Tract 3451.12,2013,38.1451613,9.1129032,7.428333194,13.64258472,0,0,60.9,5.7,30.8,3.9,54.86,1.87,36.67,6.60,11.597717,1240,94
6013345113,Census Tract 3451.13,2013,42.1052632,10.5263158,7.649692624,13.61766919,0,0,72.2,5.6,17.8,5.4,76.75,3.58,16.16,3.51,12.000554,114,6
6013345114,Census Tract 3451.14,2013,29.2993631,7.0063694,7.649692624,13.5799148,0,0,60.4,4,9.7,1.6,89.15,0.21,9.35,1.29,11.798104,157,0
6013345115,Census Tract 3451.15,2013,21.6911765,29.7794118,7.593374193,13.66364061,0,0,63.4,4.4,21.5,1.3,66.82,0.55,25.29,7.34,11.974821,272,112
