GEOID,Census_Tract,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,Composite_Score,log_BART_dist,log_CBD_dist,coastal_tracts_dummy,percent_bachelors_degree,unemployment_rate,percent_foreign_born,percent_non_white,log_MHI,School_district_quality,job_acc_auto,job_acc_transit
6013350000,Census Tract 3500,3.843744165,3.387820208,7.502186487,13.83374333,2.525728644,0.405465108,3.4355507,5.3816098,0,4.254193263,1.526056303,2.708050201,3.234749174,11.43749046,2.302585093,11.67663988,8.193698777
6075035100,Census Tract 351,3.640214282,2.515843887,7.53369371,13.64091905,3.431656589,3.839452313,4.5588434,4.8520573,0,4.021773869,1.824549292,3.841600541,4.12552018,11.58507867,1.098612289,12.27811992,9.692586258
6013351101,Census Tract 3511.01,3.968403339,2.572875425,6.938284484,12.88765319,-0.908258561,-0.693147181,4.4361619,5.7638765,0,4.082609306,2.595254707,0,2.397895273,10.80191977,0.693147181,11.52113776,0
6013351102,Census Tract 3511.02,4.117409835,3.767571723,7.115582126,12.51171742,0,0,4.0180712,5.7411518,0,3.974058396,2.32238772,0,2.501435952,10.70544429,0.693147181,11.79621289,0
6013351103,Census Tract 3511.03,4.406719247,2.764620554,7.229113878,13.16331336,0,0,4.1838861,5.7971387,0,4.119037175,0,0,2.186051277,11.17511433,0.693147181,11.69496645,0
6013351200,Census Tract 3512,3.879499814,3.352407218,8.160518247,13.87698188,1.832581464,-0.693147181,3.9527915,5.6043851,0,4.332048265,1.648658626,2.240709689,2.753660712,12.20981563,2.302585093,11.68895697,0
6075035201,Census Tract 352.01,3.943521672,3.542489906,7.492760301,13.59473919,3.757872326,3.931825633,4.6302924,4.9794099,0,3.735285827,1.686398954,3.835141961,4.107589789,11.34825127,1.098612289,12.1262798,9.543300735
6075035202,Census Tract 352.02,3.90197267,3.187370454,7.413367336,13.51831673,3.298918532,4.094344562,4.6696858,4.9245288,0,3.850147602,1.280933845,3.867025639,3.996364154,11.27138879,1.098612289,12.21393379,9.566755982
6013352101,Census Tract 3521.01,4.294560609,3.397358606,7.754052639,13.93923148,1.347073648,-0.693147181,4.5221803,5.6091453,0,4.356708827,0.955511445,2.701361213,3.238678452,12.01025239,2.302585093,11.53961419,7.429776003
6013352102,Census Tract 3521.02,3.424262655,0,7.796880343,13.84516644,0,0,4.8229027,5.477067,0,4.324132656,1.223775432,2.617395833,2.985681938,12.05409793,2.302585093,11.19369701,0
